Affischtavla	Billboard
teori	theory
teoriserad	theorized
terapeut	therapist
terapeutisk	therapeutic
terapi	therapy
term	term
termer	terms
termin	period
terminal	terminal
terminologi	terminology
termisk	thermal
termit	termite
termodynamisk	thermodynamic
termokemisk	thermochemical
termometer	thermometer
termos	thermos
termostat	thermostat
terpentin	turpentine
terrakotta	terracotta
terrariedjur	reptiles
terrass	terrace
terrier	terrier
territorialvatten	terretorialwater
territoriell	territorial
territorium	territory
terror	terror
terrorisera	terrorise
terrorism	terrorism
terrorist	terrorist
terroristdåd	terrorcrime
terrorvälde	dictatorship
terräng	ground
tes	thesis
tesaurus	thesaurus
tesked	teaspoon
test	test
testa	test
testad	tested
testamente	Testament
testikel	testicle
teve	television
text	lyrics
text-TV	teletext
texta	subtitle
textbok	textbook
textförfattare	writer
textil	textile
textilbearbetning	textile-processing
textilier	textiles
textremsa	subtitle
textur	texture
thailändsk	Thai
thinner	thinner
thorax	thorax
thriller	thriller
tia	tenth
tiara	tiara
tibetanske	tibetian
tic	tic
ticka	tick
ticktack	tick-tock
tid	time
tidevarv	period
tidig	early
tidigare	earlier
tidighet	earliness
tidigt	premature
tidkrävande	time-consuming
tidlös	timeless
tidning	newspaper
tidningsanka	canard
tidningskiosker	newsstand
tidningsutgivare	publisher
tidrymd	period
tidsaxel	timeline
tidsbaserad	time-based
tidsbegränsad	limited-time
tidsenlig	modern
tidsfrister	deadlines
tidsfördriv	pastime
tidsfördröjning	latency
tidskrift	periodical
tidslinje	time-line
tidsperiod	time-period
tidsplan	timeplan
tidsram	timeframe
tidsschema	schedule
tidsskala	timescale
tidsutrymme	timespace
tidsålder	age
tidsödande	time-consuming
tidtabell	timetable
tidtagare	timekeeper
tidvatten	tide
tidvis	periodically
tiger	tiger
tigga	beg
tigrarna	tigers
tik	bitch
tilja	board
till	of
tillade	added
tillaga	cook
tillagt	added
tillbaka	back
tillbakablickande	retrospective
tillbakadragen	reserved
tillbakagång	decline
tillbakahållen	restrained
tillbakavisa	reject
tillbaks	back(wards)
tillbe	worship
tillbehör	accessories
tillblanda	mix
tillblandad	mixed
tillblivelse	creation
tillbringa	spend
tillbringare	jug
tillbud	incident
tillbörlighet	decency
tilldela	allot
tilldelning	allotment
tilldragande	attractive
tilldragelse	event
tilldragning	retreive
tilldöma	adjudge
tillerkänna	adjudge
tillfart	approach
tillflykt	refuge
tillflyktsort	haven
tillflöde	tributary
tillfoga	inflict
tillfreds	satisfied
tillfredsställa	satisfy
tillfredsställande	satisfactory
tillfredsställelse	satisfaction
tillfriskna	recover
tillfråga	ask
tillfrågad	asked
tillfälle	opportunity
tillfällig	temporary
tillfällighet	coincidence
tillfälligt	temporary
tillfångata	capture
tillföra	provide
tillförlit	reliability
tillförlitlig	reliable
tillförlitlighet	reliability
tillförordnad	substitute
tillförsel	supply
tillförsäkra	guarantee
tillgiven	devoted
tillgivenhet	affection
tillgjord	artificial
tillgodogöra	utilize
tillgodohavande	credits
tillgrepp	theft
tillgripa	misappropriate
tillgänglig	available
tillgänglighet	accessibility
tillgång	supply
tillhygge	weapon
tillhöra	belong
tillhörande	belonging
tillhörighet	belonging
tillika	besides
tillintetgjord	destroyed
tillintetgöra	annihilate
tillintetgörs	eliminated
tillit	trust
tillkalla	summon
tillknäppt	reserved
tillkomst	puss
tillkännage	notify
tillkännagiva	notificate
tillkännagivanden	announcements
tillmötesgående	compliance
tillnamn	nickname
tillnärmelsevis	approximately
tillreda	prepare
tillredelse	preparation
tillrop	call
tillrundad	rounded
tillryggalägga	cover
tillräcklig	sufficient
tillräcklighet	adequacy
tillräckligt	enough
tillräknelighet	accountability
tillrättavisa	rebuke
tillrådlig	advisable
tills	until
tillsammans	together
tillsats	additive
tillse	ensure
tillskott	addition
tillskyndare	encourager
tillskärare	cutter
tillskärning	cutting
tillslag	raid
tillsluta	close
tillsluten	sealed
tillspetsad	incisive
tillstramning	tightening
tillströmning	influx
tillstymmelse	hint
tillstyrka	recommend
tillställning	affair
tillstå	acknowledge
tillstånd	state
tillstöta	occur
tillsyn	supervision
tillsynsmyndighet	regulator
tillsäga	tell
tillsägelse	demand
tillsätta	appoint
tillta	increase
tilltag	prank
tilltagande	increasing
tilltala	please
tilltalad	accused
tilltalande	attractive
tilltrasslad	complicated
tilltro	confidence
tillträde	admission
tilltugg	snack
tilltygad	manhandled
tilltänkt	proposed
tillvalskurs	front
tillvand	dependent
tillvarata	safeguard
tillvaro	existence
tillverka	manufacture
tillverkad	manufactured
tillverkning	manufacturing
tillvägagångssätt	procedure
tillvänjning	training
tillväxt	growth
tillväxtbefrämjande	growth-promoting
tillägg	addition
tillägga	supplement
tillägna	dedicate
tillämpa	apply
tillämpbar	applicable
tillämplig	applicable
tillämpning	application
tillät	allowed
tillåta	allow
tillåtelse	permission
tillåten	allowed
tillåtliga	allowed
tillökning	addition
tillönska	wish
timer	timer
timid	timmid
timjan	thyme
timma	hour
timme	hour
timmer	timber
timmerman	carpenter
tina	defrost
ting	thing
tingeltangel	knickknack
tinktur	tincture
tinne	pinnacle
tinner	thinner
tinning	temple
tio	ten
tiodubblats	tenfold
tionde	tenth
tiondel	tenth
tiotal	tens
tipp	tipper
tippa	forecast
tips	tip
tisdag	Tuesday
tissel	whisper
tissla	whisper
tistel	thistle
titel	title
titelroll	title-role
titt	glance
titta	watch
tittare	viewer
tittglugg	peephole
titulär	titular
tja	well
tjack	dope
tjafs	drivel
tjat	nagging
tjata	pester
tjatig	tedious
tjatter	chatter
tjattra	chatter
tjeck	Czech
tjeckisk	Czech
tjeckoslovakisk	Czechoslovakian
tjej	girl
tjenare	hello
tjetjener	chechenians
tjock	thick
tjocka	fog
tjockhudad	thick-skinned
tjockhårig	thick-haired
tjockis	fatso
tjocklek	thickness
tjockskallig	thickheaded
tjog	score
tjomme	guy
tjuder	tether
tjugo	twenty
tjugoett	twentieone
tjugofemte	twenty-fifth
tjugofyra	twenty-four
tjugoförsta	twenty-first
tjugonde	twentieth
tjur	bull
tjura	sulk
tjurfäktare	bullfighter
tjurfäktning	bullfighting
tjurig	sulky
tjusa	enchant
tjusig	charming
tjusning	fascination
tjut	yell
tjuta	yell
tjuv	thief
tjuvjakt	poching
tjuvlyssna	eavesdrop
tjuvlyssning	eavesdropping
tjuvnyp	pinch
tjuvskyttar	poachers
tjuvstreck	mischief
tjyv	thief
tjäder	capercaillie
tjäna	earn
tjänare	servant
tjänst	service
tjänstefel	misconduct
tjänstefolk	servants
tjänsteställning	title
tjänsteåliggande	responsibilities
tjänstgöring	service
tjänstvillig	helpful
tjära	tar
tjärn	pond
tjöt	shrieked
toa	WC
toalett	dress
toalettartikel	toiletry
tobak	tobacco
toffel	slipper
tofs	tuft
tog	took
tok	idiot
tokig	crazy
tokrolig	hilarious
tolerans	tolerance
toleransmått	tolerances
toleranströskel	Personbevis
tolerant	tolerant
tolerera	tolerate
tolererbar	tolerable
tolfte	twelfth
tolftedel	one-twelfth
tolk	interpreter
tolka	interpret
tolkning	interpretation
tolv	twelve
tolva	twelve
tolvslaget	midnight
tolvårig	twelve-year-old
tom	empty
tomat	tomato
tombola	tombola
tomflaska	bottle
tomgång	idling
tomgångskörning	idling
tomhänt	empty-handed
tomrum	void
tomt	site
tomtebloss	sparkler
tomtmark	land
ton	tonne
tona	tint
tonart	key
tonfall	intonation
tonfisk	tuna
tongivande	trendsetting
tongång	progression
tonnage	tonnage
tonsill	tonsil
tonsättare	composer
tonvikt	stress
tonårig	teenage
tonåriga	teenage
tonåring	teenager
topas	topaz
topografi	topography
topografisk	topographical
topp	top
topp-	top
toppa	top
toppen	terrific
toppform	fit
toppman	fortifi
toppmatad	top-loading
tordas	dare
tordes	dared
torftig	poor
torftigt	scanty
torgplats	square
torgskräck	agoraphobia
tork	drier
torka	dry
torkad	dried
torkning	drying
torn	tower
tornering	tournament
tornspira	steeple
torp	croft
torpare	crofter
torped	torpedo
torr	dry
torrdestillation	incision
torrhet	dryness
torrkokning	dry-boiling
torrlagda	drylaid
torrlägga	drain
torrskodd	dry-shod
torsdag	Thursday
torsdagar	Thursdays
torsk	John
torso	torso
tortera	torture
torterad	tortured
tortyr	torture
torv	peat
tossig	bonkers
tota	patch
total	complete
totalförbud	ban
totalisator	totalizator
totalitär	totalitarian
totalt	total
toto	horsey
tott	tuft
toucha	graze
touche	tap
tova	tangle
toxisk	toxic
tr	fl
tradig	tedious
tradition	tradition
traditionalisterna	traditionalise
traditionalistisk	traditional
traditionell	traditional
traditionsenlig	traditional
trafik	traffic
trafikant	passenger
trafikdödad	roadkill
trafikera	operate
trafikföretag	carriers
trafikrytm	trafficrythm
trafikövervakning	trafficsupervision
tragedi	tragedy
tragik	tragedy
tragisk	tragic
tragiskt	tragic
trailer	trailer
trakassera	harass
trakasseras	harassed
trakasserier	harassment
trakassering	harassment
trakt	parts
traktat	treaty
traktera	play
traktor	tractor
trall	duckboard
tralla	sing
tramp	tramp
trampa	tread
trampolin	diving-board
trams	drivel
trana	crane
tranbär	cranberry
trans	trance
transaktion	transaction
transatlantiska	transatlantic
transeurasiskt	trans-eurasian
transfer	trade
transferera	transfer
transformator	transformer
transistor	transistor
transit	transit
transkontinental	transcontinental
transkription	transcription
translator	translator
transnationella	transnational
transparent	transparent
transpiration	perspiration
transplantation	transplant
transplantera	transplant
transport	transport
transportbil	Truck
transportera	convey
transportförsäkring	harasses
transportkärra	cart
transportvagn	carriage
transportör	carrier
transtillstånd	trance
transvestit	transvestite
trapets	trapeze
trappa	stairs
trappgavel	phoo
trappsteg	steps
trappstege	ladder
trasa	rag
trasig	torn
traska	trudge
trassel	trouble
trassla	entangle
trasslig	entangled
trast	thrush
tratt	funnel
trauma	trauma
traumatiserade	traumatised
traumatisk	traumatic
trav	trot
trava	trot
trave	pile
traversbalk	Conclude
travesti	travesty
tre	three
trea	three
trecylindrig	three-cylindric
tredje	third
tredjedel	third
tredska	refractoriness
tredskas	refuse
tredubblas	tripple
treenighet	trinity
trefasig	three-phased
trehjuling	tricycle
trekant	triangle
treklöver	trefoil
treklövern	shamrock
trend	trend
trendig	trendy
trendskapare	trendsetter
tresidig	trilateral
tresiffrig	three-digit
trespråkig	tri-lingual
trestegsprocess	three-stage
tretrådig	three-thread
trettio	thirty
trettioen	thirty-one
trettionde	thirtieth
tretton	thirteen
trettonde	thirteenth
tretåig	three-toed
treudd	trident
treva	grope
trevare	feeler
treveckors	three-week
trevlig	pleasant
trevlighet	niceness
trevnad	comfort
treåring	Three-year-old
triangel	triangle
triangulär	triangular
tribun	platform
tribunal	tribunal
tribut	tribute
trick	trick
trigonometri	trigonometry
trikå	tricot
trilla	tumble
trilogi	trilogy
trilsk	contrary
trim	trim
trimma	trim
trind	roundish
trio	trio
trissa	caster
trist	dismal
triumf	triumph
triumfera	exult
triumferande	Triumphant
trivas	enjoy
trivial	trivial
trivsam	cosy
trivsamhet	pleasantness
trivsel	comfort
tro	believe
troende	believe
trofast	faithful
trofasthet	loyalty
trogen	faithful
trohet	fidelity
trojka	troika
trolig	probable
troligen	likely
troligtvis	probably
troll	troll
trolla	conjure
trollbinda	spellbind
trolleri	magic
trollformel	spell
trollgubbe	wizard
trollkarl	magician
trollspö	wand
trollstav	wand
trolovning	betrothal
trolsk	bewitching
trolös	unfaithful
trolöshet	unfaithfulness
tromb	thrombus
trombolys	thrombolysis
trombon	trombone
tron	throne
tropisk	tropical
tropiskt	tropical
troposfär	troposphere
tropp	troup
trosa	briefs
trosbekännelse	creed
trosföreställning	belief
troskyldig	innocent
tross	hawser
trots	defiance
trotsa	defy
trotsig	refractory
trottoar	pavement
trottoarer	pavements
trovärdig	trustworthy
trovärdighet	credibly
trubadur	troubadour
trubbel	trouble
trubbig	blunt
truck	truck
truism	truism
trumf	trump
trumhinna	eardrum
trumma	drum
trumpen	sullen
trumpet	trumpet
trumpinne	drumstick
trumslagare	drummer
trupp	troop
trupperna	troops
trut	gull
truta	pout
tryck	print
trycka	print
tryckande	oppressive
tryckeri	printer
tryckkokning	pressure-cook
tryckstil	typeface
tryckt	printed
tryffel	truffle
trygg	safe
trygga	secure
tryggad	secured
trygghet	security
tryne	snout
trä	wood
träd	tree
träda	step
trädgård	garden
trädgårdsarbetare	Gardener
trädgårdsmästare	gardener
trädgårdsodling	gardening
trädplantering	tree-planting
träff	hit
träffa	make
träffande	apt
träffas	meet
trägen	unflagging
träighet	woodieness
träna	train
tränare	coach
tränga	force
trängande	pressing
trängas	crowd
trängd	moulded
trängre	narrower
trängsel	crowding
trängta	yearn
träning	training
träningspass	workout
träport	restricted
träsk	marsh
träskalle	butthead
träskmark	marshland
träsko	clog
träspjut	spear
träta	quarrel
trätt	quarrelled
trävirke	timber
tråd	thread
trådig	stringy
trådlös	Wireless
trådrulle	bobbin
tråg	trough
tråka	tease
tråkig	boring
tråkigt	boring
tråkmåns	bore
trål	trawl
trålare	trawler
trång	tight
trångmål	distress
trångsynt	narrow-minded
trångsynthet	narrow-mindedness
trög	slow
tröghet	inertia
tröja	sweater
tröska	thresh
tröskel	threshold
tröskelvärde	threshold
tröst	solace
trösta	console
tröstlös	inconsolable
tröstpris	honour
trött	tired
trötthet	fatigue
tröttsam	tiresome
tsar	czar
tsatsiki	tsatsiki
tsk	tsp
tsunami	tsunami
tu	two
tub	tube
tuba	tuba
tuberkulos	tuberculosis
tuff	cool
tuffa	puff
tugga	chew
tukt	discipline
tull	customs
tulla	pinch
tulpan	tulip
tum	inch
tumavtryck	thumbprint
tumla	tumble
tumma	finger
tumme	thumb
tummelplats	arena
tumskruv	thumbscrew
tumult	tumult
tumör	tumour
tundra	tundra
tundraområde	tundra
tung	major
tunga	sole
tunghäfta	tongue-tiedness
tungomål	language
tungrodd	unwieldy
tungrott	unwieldy
tungsinne	melancholy
tungsten	wolfram
tungvikt	Heavyweight
tungviktare	heavyweighter
tungviktig	heavyweight
tunisien	tunisia
tunisisk	Tunisian
tunisiska	tunisian
tunn	diffuse
tunna	barrel
tunnbröd	flatbread
tunnel	tunnel
tunnland	acre
tupp	cock
tuppfäktning	cockfight
tuppkam	mohawk
tupplur	nap
tupé	toupee
tur	turn
turban	turban
turbin	turbine
turism	tourism
turist	tourist
turk	Turk
turkisk	Turkish
turkisk-europeisk	turkish-european
turkos	turquoise
turlista	timetable
turnera	tour
turnering	tournament
turné	tour
turordning	order
tusan	damn
tusen	thousand
tusendel	thousandth
tusenfoting	centipede
tusenkonstnär	jack-of-all-trades
tusensidiga	thousandpaged
tusenårig	thousand-year
tuss	wad
tussilago	coltsfoot
tut	toot
tuta	honk
tuva	tussock
tv	TV
tvagning	washing
tvang	forced
tve-	di-
tveeggad	double-edged
tvehågsen	doubtful
tveka	hesitate
tvekamp	duel
tvekan	doubt
tveklöst	doubtless
tveksam	doubtful
tveksamhet	hesitancy
tveksamt	doubtful/ly
tvenne	two
tvetydig	ambiguous
tvetydighet	ambiguity
tvilling	twin
tvillingbarn	twins
tvina	waste
tving	clamp
tvinga	force
tvingande	forced
tvinna	twine
tvist	dispute
tvista	dispute
tvivel	doubt
tvivelaktig	doubtful
tvivelsmål	doubt
tvivla	doubt
tvungen	forced
tvungit	forced
tvär	crossways
tvärbalk	girder
tvärförbindelse	inter-connection
tvärgata	crossroad
tvärs	across
tvärsigenom	through
tvärt	suddenly
tvärvetenskaplig	interdisciplinary
tvätt	laundry
tvätta	wash
tvättare	washer
tvättbar	washable
tvättbjörn	raccoon
tvätteri	laundry
tvättfat	washbasin
tvättkläder	laundry
tvättning	washing
tvättrum	lavatory
två	wash
tvåa	second
tvådimensionell	two-dimensional
tvådörrars	twindoors
tvåhjuliga	two-wheeled
tvåhjuling	two-wheeler
tvål	soap
tvång	coercion
tvångsintagning	committal
tvångsmatning	force-feed
tvångstanke	obsession
tvångströja	straitjacket
tvåspråkig	bilingual
tvåspåriga	two-track
tvåvåningsbussar	double-decker
tvåårig	two-year
ty	for
tycka	imagine
tyckas	seem
tycke	fancy
tyda	interpret
tydlig	clear
tydligare	clearer
tydligen	evidently
tydliggöra	clarify
tydlighet	readability
tydligt	clearly
tyfus	typhoid
tyg	material
tygel	reins
tygla	rein
tyglapp	cloth
tyken	surly
tyna	fade
tyngd	weight
tyngdlyftare	weightlifter
tyngdlyftining	weight-lifting
tyngdlös	weightless
tyngre	heavier
tyngst	heaviest
typ	type
typgodkänd	type-approved
typisk	typical
typiskhet	typicality
typiskt	typical
typograf	typographer
typsnitt	typeface
tyrann	tyrant
tyranni	tyranny
tyrolsk	tirolian
tysk	German
tysk-nederländsk	german-dutch
tyska	German
tyskfödd	German-born
tyskspråkig	german-speaking
tyst	quiet
tysta	silence
tystgående	quiet
tystlåten	taciturn
tystnad	silence
tyvärr	unfortunately
täcka	cover
täcke	covering
täckhet	coverage
täckmantel	cover
täckning	backing
tälja	carve
täljare	numerator
tält	tent
tälta	camp
tämja	tame
tämligen	fairly
tända	ignite
tändare	lighter
tänder	teeth
tändning	ignition
tändrör	fuse
tändsticka	match
tänger	tongs
tänja	stretch
tänjbar	elastic
tänjbara	flexible
tänka	intend
tänkare	thinker
tänkbar	conceivable
tänkespråk	maxim
tänkt	hypothetical
täppt	sealed
tära	consume
tärande	consuming
tärna	dice
tärning	dice
tät	head
täta	seal
tätbebyggelse	urban
tätting	passerine
tättinvid	nearby
tättsittande	tight
tävla	compete
tävlan	competition
tävlare	competitor
tävling	competition
tävlingsgren	stege
tå	toe
tåg	procession
tåga	march
tågledes	trainwise
tågurspårning	derailment
tåla	tolerate
tålamod	patience
tålig	durable
tålmodig	patient
tång	seaweed
tår	tear
tårdrypande	tear-jerking
tårta	cake
tö	thaw
töa	thaw
töcken	mist
töja	stretch
töjbar	stretchable
töjningsförmåga	elesticity
tölp	boor
töm	rein
tömma	empty
tömning	emptying
tönt	dolt
töntig	corny
törn	watch
törnbuske	tornbush
törne	thorn
törst	thirst
törsta	thirst
törstar	thirsting
törstig	thirsty
tös	girl
töväder	thaw
ubåt	submarine
udd	point
udda	unusual
udde	promontory
uggla	owl
ugn	oven
ugnslucka	ovenhatch
ukraina	Ukraine
ukrainsk	Ukrainian
ukrainska	ukrainian
ull	wool
ultimatum	ultimatum
ultra-	ultra-
ultraliberala	ultra-liberal
ultraliberalism	ultra-liberalism
ultraradikal	ultra-radical
ultrareaktionär	ultra-conservative
ulv	wolf
umbärande	hardship
undan	away
undanflyttning	Runner
undanhålla	withhold
undanlagd	disposed
undanta	exempt
undantag	exception
undantagsfall	exeptionel
undanträngning	suppression
undebar	wonderful
under	wonder
underarm	forearm
underart	matches
underavdelning	subdivision
underavsnitt	sub-sections
underbar	wonderful
underbefolkade	underpopulated
underbemannad	undermanned
underbemanning	under-staffing
underbetald	underpaid
underbygga	support
underbyxor	undershorts
underdånig	humble
underentreprenad	sub-contracting
underfundig	subtle
underförstådd	implied
undergiven	submissive
underground-	underground
undergrupp	jet
undergräva	undermine
undergå	undergo
undergång	ruin
undergången	armagedon
undergörande	miraculous
underhandla	negotiate
underhåll	maintenance
underhålla	amuse
underhållande	entertaining
underhållare	entertainers
underhållen	maintained
underhållning	entertainment
underhållningsartist	entertainer
underhållsarbete	maintenance
underhållsbidrag	maintenance
underhöll	maintained
underjordisk	subterranean
underkastelse	subjection
underkategorier	subcategories
underkjol	petticoat
underkläder	underwear
underkuva	subjugate
underkuvar	ruby
underkvalificerade	underqualified
underkänna	fail
underlag	surface
underleverantör	sub-contractors
underlig	odd
underliggande	underlying
underlighet	peculiarity
underlägg	mat
underlägsen	inferior
underlägsna	inferior
underläpp	lowerlip
underlätta	facilitate
underlåta	neglect
undermedveten	unconscious
undermedvetna	subconscious
undermening	subtext
underminera	undermine
undermålig	inferior
undernärd	undernourished
undernärda	malnourished
undernäring	malnutrition
underordna	subordinate
underordnad	secondary
underprivilegierad	underprivileged
underrede	chassis
underrepresenterad	under-represented
underrätta	inform
underrättad	informed
underrättelse	intelligence
underskatta	underestimate
underskott	deficit
underskrift	signature
underst	lowest
understatement	understatement
understimulerad	understimulated
understryka	emphasize
understrykning	underlining
understöd	subsidy
understöda	support
understödja	support
understödjare	supporter
undersåte	subject
undersöka	examine
undersökande	investigative
undersökning	examination
undersökta	monitored
underteckna	sign
undertecknad	signed
undertecknande	fluens
undertecknare	Signer
underton	undertone
undertrycka	restrain
undertryckning	suppression
undertryckta	subdued
undertröja	undershirt
underutnyttjad	under-used
underutnyttjande	subutilisation
underutvecklad	underdeveloped
undervattensbåt	submarine
underverk	miracle
undervisa	teach
undervisare	teacher
undervisning	education
undervisningslokal	classroom
undervisningsplan	curriculum
undervärderad	undervalued
undervärdering	miscellaneous
underårig	underage
undfallande	compliant
undfly	escape
undgick	escaped
undgå	escape
undkomma	escape
undra	wonder
undran	wonder
undrande	wondering
undras	wonder
undre	lower
undsätta	rescue
undsättning	rescue
undvika	avoid
ung	young
ungdom	youth
ungdomlig	youthful
ungdomsgeneration	youth
ungdomsvårdsskola	reformatory
unge	young
ungefär	about
ungefärlig	approximate
ungern	Hungary
ungersk	Hungarian
unghingst	stallion
ungkarl	bachelor
ungkarlstjej	bachelorette
ungrare	Hungarian
uniform	uniform
unik	unique
union	union
unison	unison
universal-	universal
universalmedel	panacea
universaltid	UTC
universell	universal
universitet	university
universum	universe
unken	musty
uns	ounce
upp	up
uppacka	unpack
upparbeta	teaspoon
upparbetning	reprocessing
uppassare	waiter
uppassning	waiting
uppbackning	backing-up
uppbjuda	summon
uppblåsbar	inflatable
uppblåsning	screwflation
uppblåst	blown-up
uppblåsthet	pompus
uppbragt	indignant
uppbringa	seize
uppbrott	breaking-up
uppburen	esteemed
uppbygga	edify
uppbygglig	edifying
uppbyggnad	design
uppbära	collect
uppbåd	band
uppbåda	mobilize
uppbörd	collection
uppdaga	discover
uppdatera	update
uppdatering	update
uppdikta	make-believe
uppdrag	commission
uppdragsgivare	client
uppdriven	intense
uppdrivning	cultivation
uppe	up
uppehälle	living
uppehåll	stay
uppehålla	detain
uppenbar	obvious
uppenbara	reveal
uppenbarelse	creature
uppenbarligen	obviously
uppenbart	obvious
uppfann	invented
uppfart	approach
uppfatta	catch
uppfattning	opinion
uppfattningsförmåga	cognition
uppfinna	invent
uppfinning	invention
uppflammande	flaring
uppfostran	upbringing
uppfriskande	refreshing
uppfriskning	refreshment
uppfunnet	invented
uppfunnit	invented
uppfylla	fill
uppfyllelse	fulfilment
uppföda	breed
uppfödare	breeder
uppfödas	raise
uppfödning	raise
uppföljare	follow-up
uppföljning	follow-up
uppför	up
uppföra	perform
uppförande	performance
uppförandepraxis	rare
uppförstora	enlarge
uppge	state
uppgift	task
uppgivas	statement
uppgiven	dejected
uppgjord	fixed
uppgradera	upgrade
uppgående	rising
uppgång	entrance
uppgörelse	settlement
upphandling	Procurement
upphetsar	excite
upphittad	found
upphittare	finder
upphov	origin
upphovsmän	creator
upphovsrätt	copyright
upphämtning	g
upphäva	annul
upphävande	annulment
upphöja	promote
upphöjd	lofty
upphöra	stop
uppiggande	bracing
uppjagad	heated
uppkalla	name
uppkast	vomit
uppkokning	boiling
uppkomling	upstart
uppkomma	arise
uppkomst	origin
uppkoppling	connectivity
uppkäftig	cheeky
uppköpare	buyers
uppladdning	recharging
upplag	store
upplaga	edition
upplagd	inclined
uppleva	experience
upplevelse	experience
uppliva	revive
upplopp	riot
uppluckrad	looser
upplupen	accrued
upplyftande	edifying
upplysa	inform
upplysning	information
upplyst	enlightened
upplysthet	enlightment
uppläggningsfat	nummer
upplärd	taught
uppläsare	reader
upplösa	dissolve
upplösandet	dissolving
upplöser	disperse
upplösning	resolution
upplösningstillstånd	dissolution
uppmana	request
uppmaning	invitation
uppmjuka	soften
uppmjukning	warm-up
uppmuntra	encourage
uppmuntrande	encouraging
uppmuntring	encouragement
uppmärksam	attentive
uppmärksamhet	attention
uppmärksamma	notice
uppmärksanhet	attention
uppmäta	Measure
uppnosig	cheeky
uppnosighet	cheeky
uppnåbar	achievable
uppnåbarheten	achievability
uppnåeliga	attainable
uppoffra	sacrifice
uppoffrande	self-sacrificing
uppoffring	sacrifice
upprepa	repeat
upprepad	repeatedly
upprepande	recurrence
upprepning	repetition
uppriktig	frank
uppriktigt	sincerity
uppringa	call
uppringning	Dial
upprinnelse	origin
uppriven	shaken
upprop	appeal
uppror	revolt
upprorsman	rebel
upprusta	rearm
upprustning	improvement
uppryckning	shake-up
upprymd	elated
uppräkning	enumeration
upprätt	upright
upprätta	rehabilitate
upprättelse	redress
upprätthålla	maintain
upprätthållande	maintenance
uppröjning	clearing
uppröra	shock
upprörande	shocking
upprörd	indignant
uppsamla	collecting
uppsats	article
uppseende	attention
uppseendeväckande	sensational
uppsikt	supervision
uppskakad	shaken
uppskatta	estimate
uppskattad	estimated
uppskattande	appreciative
uppskattning	estimate
uppskjuten	postponed
uppskov	respite
uppskruvad	exaggerated
uppskärrad	overwrought
uppslag	turn-up
uppslagsord	headword
uppslagsverk	encyclopedia
uppslitande	distressing
uppsluppen	merry
uppstiga	ascend
uppstigande	ascending
uppstod	arose
uppström	upstream
uppstudsig	recalcitrant
uppstudsighet	insubordination
uppståndelse	resurrection
uppstötning	belch
uppsving	upswing
uppsyn	expression
uppsägning	notice
uppsättning	set
uppsåt	intent
uppsöka	find
upptagen	busy
upptagenhet	preoccupation
upptakt	upbeat
upptining	thaw
upptrappning	escalation
uppträda	appear
uppträdande	behaviour
uppträde	disturbance
upptäcka	discover
upptäckt	discovery
upptäcktsfärd	sight-seeing
upptäcktsresande	explorers
upptänklig	imaginable
upptåg	prank
uppvakna	awaken
uppvaknande	awakening
uppvakta	petition
uppvisa	show
uppvisning	display
uppvärmning	heating
uppvärmningsprocess	heatingprocess
uppväxt	growth
uppväxtmiljö	childhood
uppäten	eaten
uppåt	upwards
ur	watch
ur-	extremely
uran	uranium
urarta	degenerate
urban	urban
urbanisering	urbanization
urbanism	urbanism
urbefolkning	natives
urbergsområde	bedrock
urblekt	faded
urblåst	gutted
urgamla	ancient
urin	urine
urinblåsa	bladder
urinera	urinate
urinledare	ureter
urklipp	cutting
urklippning	cut-outs
urkoppla	Unplugg
urkund	document
urladdning	discharge
urlastning	unloading
urminnes	immemorial
urmodig	out-of-date
urna	urn
urringning	cleavage
ursinne	fury
ursinnig	furious
urskilja	discern
urskiljbar	distinguishable
urskillning	discrimination
ursköljning	rinsing
ursprung	origin
ursprunglig	original
ursprungligen	originally
ursprungsland	country-of-origin
urspåring	derailment
urspårning	derailing
ursäkt	excuse
ursäkta	excuse
ursäktlig	forgivable
urtagbar	removable
urtida	ancient
urusel	lousy
urval	selection
urvattnad	watered-down
usel	wretched
ut	out
utagerad	settled
utan	without
utanför	outside
utanförskap	alientation
utannonsering	advertising
utanpå	outside
utanverk	façade
utarbeta	prepare
utarma	impoverish
utbetald	payed
utbetalning	pay-out
utbilda	educate
utbildad	educated
utbildning	education
utblick	view
utblottad	destitute
utbredd	widespread
utbredning	spread
utbredningsområde	range
utbrista	exclaim
utbrott	outbreak
utbrunnen	extinguished
utbrytargrupp	splinter-group
utbud	range
utbyggnad	expansion
utbyta	exchange
utbytbar	replaceable
utbyte	benefit
utdata	output
utdela	distribute
utdelare	dispensers
utdelning	dividend
utdrag	excerpt
utdragbar	pull-able
utdragen	drawn-out
utdöd	extinct
utdöma	condemn
ute	out
utefter	along
utegångsförbud	curfew
uteliggare	homeless
utesluta	eliminate
uteslutande	exclusively
utesluten	excluded
utestänga	baned
utestående	pending
utexaminerad	graduated
utfall	result
utfart	exit
utfiskade	fished-out
utfiskning	comprise
utflagga	Dependable
utflykt	outing
utflyktskorg	picnicbasket
utfodring	feeding
utforma	design
utformad	formed
utformning	design
utforska	investigate
utforskning	exploration
utfryst	excluded
utfrågning	questioning
utfyllnad	padding
utfärd	excursion
utfärda	issue
utfärdare	Issuer
utfästelse	promise
utför	down
